time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2006-05-28T11:36:32.640Z,33.246,131.698,82.4,4.2,mwr,22,87.4,,0.76,us,usp000ej5d,2014-11-07T01:29:12.207Z,"0 km E of Tsurusaki, Japan",earthquake,,,,,reviewed,us,nied
2006-06-06T14:28:58.910Z,33.585,132.241,72.7,3.9,m,9,150.8,,0.24,us,usp000eju5,2014-11-07T01:29:19.918Z,"30 km WNW of ?zu, Japan",earthquake,,10.3,,,reviewed,us,jma
2006-09-25T22:03:47.910Z,33.46,131.514,72.7,5.3,mwc,355,29.7,,0.89,us,usp000ettt,2016-11-10T01:28:37.429Z,"10 km N of Hiji, Japan",earthquake,,,,,reviewed,us,gcmt
2006-09-26T22:51:18.520Z,33.577,131.806,91,4.3,mb,23,87.2,,0.83,us,usp000etw2,2014-11-07T01:30:16.983Z,"24 km NE of Kitsuki, Japan",earthquake,,7.2,,3,reviewed,us,us
2006-10-09T01:35:28.020Z,41.294,129.094,0,4.3,mb,31,83.3,,0.86,us,usp000eurb,2014-11-07T01:30:31.423Z,"25 km ENE of S?ngjibaegam, North Korea",nuclear explosion,,,,11,reviewed,us,us
2006-11-19T04:29:03.670Z,33.418,132.37,59.1,4.4,mb,23,122.3,,0.76,us,usp000ey7r,2014-11-07T01:30:54.000Z,"19 km WSW of ?zu, Japan",earthquake,,7,,4,reviewed,us,us
2007-01-10T12:13:44.810Z,33.228,132.539,35.8,4,m,11,124.8,,,us,usp000f241,2014-11-07T01:31:20.602Z,"2 km WNW of Uwajima, Japan",earthquake,,,,,reviewed,jma,jma
2007-01-20T11:56:53.660Z,37.594,128.475,10,4.7,mwc,30,73.5,,1.31,us,usp000f32a,2020-09-18T21:21:06.524Z,"25 km NNE of Pyeongchang, South Korea",earthquake,,,,,reviewed,us,gcmt
2007-03-25T13:14:06.280Z,42.031,131.191,554.9,4.1,mb,41,56.8,,0.64,us,usp000f7cr,2014-11-07T01:31:55.658Z,"67 km S of Zarubino, Russia",earthquake,,6.5,,19,reviewed,us,us
2007-05-12T23:13:54.790Z,35.01,132.792,9.5,4.3,mwr,39,75,,,us,usp000fbv6,2014-11-07T01:32:27.624Z,"23 km NNW of Miyoshi, Japan",earthquake,,,,,reviewed,jma,nied
