발생시각,규모,위도,경도
2015/10/26 0:00,2.1,34.09,126.85
2015/10/11 0:00,2.1,33.3,127.02
2015/10/01 0:00,2.1,35.78,129.14
2015/10/01 0:00,2.5,35.78,129.14
2015/09/18 0:00,2.1,34.7,128.75
2015/09/03 0:00,2.7,33.27,127.04
2015/09/01 0:00,2.5,39.09,126.53
2015/08/23 0:00,2.5,36.38,129.77
2015/08/17 0:00,2.5,37.2,125.38
2015/08/12 0:00,2.2,37.17,127.5
2015/08/03 0:00,3.7,33.26,127.06
2015/08/02 0:00,2.1,37.19,128.44
2015/08/01 0:00,2.2,35.32,127.45
2015/07/30 0:00,2.2,35.15,127.98
2015/07/23 0:00,2.6,33.22,127.05
2015/07/20 0:00,2.2,33.26,127.21
2015/07/18 0:00,2.3,36.07,128.08
2015/07/14 0:00,2.8,33.24,127.01
2015/07/08 0:00,2,37.63,125.86
2015/07/04 0:00,2.1,36.32,128.18
2015/06/22 0:00,2.4,36.35,127.24
2015/06/22 0:00,2.6,35.85,125
2015/06/17 0:00,2.3,38.41,125.57
2015/06/07 0:00,2.1,33.79,126.16
2015/06/02 0:00,2,36.76,129.98
2015/04/24 0:00,2.3,35.88,129.69
2015/04/21 0:00,2.1,35.88,129.75
2015/04/15 0:00,2.9,35.14,129.93
2015/04/13 0:00,3.3,37.18,125.47
2015/03/19 0:00,2.7,36.43,127.65
2015/03/19 0:00,2.2,34.16,128.37
2015/03/10 0:00,2.7,37.36,125.15
2015/02/23 0:00,2.7,32.96,126.25
2015/02/19 0:00,2.1,36.09,125.05
2015/02/03 0:00,2.1,33.61,127.57
2015/01/31 0:00,2.2,36.6,129.45
2015/01/08 0:00,3.5,37.51,125.63
2015/01/06 0:00,2.8,38.43,126.28
2014/12/30 0:00,2.6,35.21,124.79
2014/12/24 0:00,2.1,35.89,127.33
2014/12/15 0:00,2.1,39.09,126.52
2014/12/08 0:00,3.3,34.75,127.17
2014/11/15 0:00,2.5,38.77,126.36
2014/11/06 0:00,2.3,33.34,125.89
2014/11/06 0:00,2.5,37.23,126.44
2014/10/28 0:00,2.2,38,125.34
2014/10/21 0:00,2.3,35.21,129.49
2014/10/20 0:00,2.2,33.68,125.88
2014/10/19 0:00,2.6,36.44,128.19
2014/10/11 0:00,2.3,37.73,129.43
2014/10/07 0:00,2.9,33.3,125.96
2014/10/01 0:00,2.2,36.67,125.45
2014/09/28 0:00,3.2,37.24,126.44
2014/09/25 0:00,3.8,35.07,129.94
2014/09/23 0:00,3.5,35.8,129.41
2014/09/09 0:00,2.2,35.68,129.38
2014/08/21 0:00,2.7,33.87,127.83
2014/08/18 0:00,2.1,36.57,125.64
2014/08/16 0:00,2.1,33.59,126.58
2014/08/10 0:00,2.4,38.15,126.63
2014/08/05 0:00,2.5,40.11,127.2
2014/08/02 0:00,2.2,37.4,127.2
2014/07/04 0:00,2.2,34.51,125.41
2014/07/04 0:00,2.9,35.66,129.78
2014/07/04 0:00,2.5,35.65,129.81
2014/07/03 0:00,2.6,35.66,129.82
2014/07/03 0:00,3.5,35.66,129.76
2014/06/21 0:00,2.6,38.77,125.89
2014/06/18 0:00,2.1,35.91,128.66
2014/06/08 0:00,2.6,33.52,125.96
2014/06/05 0:00,2.3,35.97,128.62
2014/05/15 0:00,3.4,33,126.21
2014/04/26 0:00,2.7,36.46,127.93
2014/04/25 0:00,2.9,35.97,128.04
2014/04/13 0:00,2.9,36.93,124.52
2014/04/12 0:00,2.6,33.52,126.9
2014/04/08 0:00,2.7,36.96,124.44
2014/04/01 0:00,2.3,36.95,124.5
2014/04/01 0:00,5.1,36.95,124.5
2014/03/28 0:00,3,36.47,127.93
2014/03/14 0:00,2.5,39.41,126.09
2014/03/11 0:00,2.7,35.86,128.47
2014/02/28 0:00,2.4,38.74,125.01
2014/02/22 0:00,2.6,38.31,124.27
2014/02/21 0:00,2.7,35.05,127.75
2014/02/05 0:00,2.8,38.26,124.4
2014/01/29 0:00,2.2,36.23,128.8
